,dtime,fuellevelsmooth
0,2020-01-08 21:16:02,
1,2020-01-08 21:17:04,
2,2020-01-08 21:18:04,
3,2020-01-09 10:05:26,
4,2020-01-09 10:06:27,
5,2020-01-09 10:07:27,
6,2020-01-09 10:08:27,
7,2020-01-09 10:09:27,
8,2020-01-09 10:10:27,
9,2020-01-09 10:11:27,34.98
10,2020-01-09 10:12:27,39.949999999999996
11,2020-01-09 10:13:27,44.919999999999995
12,2020-01-09 10:14:27,49.88999999999999
13,2020-01-09 10:15:27,49.88999999999999
14,2020-01-09 10:16:27,49.86999999999999
15,2020-01-09 10:17:27,49.809999999999995
16,2020-01-09 10:18:27,49.739999999999995
17,2020-01-09 10:19:27,49.7
18,2020-01-09 10:20:27,49.7
19,2020-01-09 10:21:27,49.7
20,2020-01-09 10:22:27,49.7
21,2020-01-09 10:23:27,49.7
22,2020-01-10 04:44:17,44.730000000000004
23,2020-01-10 04:45:48,39.760000000000005
24,2020-01-10 04:46:48,34.790000000000006
25,2020-01-14 09:34:09,34.790000000000006
26,2020-01-14 09:45:40,34.790000000000006
27,2020-01-14 09:46:40,34.790000000000006
28,2020-01-14 09:47:40,34.780000000000015
29,2020-01-14 09:55:57,29.810000000000013
30,2020-01-14 09:56:57,29.810000000000013
31,2020-01-14 09:57:57,29.810000000000013
32,2020-01-14 09:58:57,34.80000000000001
33,2020-01-14 09:59:57,39.83000000000001
34,2020-01-14 10:00:57,44.87000000000001
35,2020-01-14 10:01:57,44.89000000000001
36,2020-01-14 10:04:03,44.85000000000001
37,2020-01-14 10:05:03,44.80000000000001
38,2020-01-14 10:06:03,44.760000000000005
39,2020-01-14 10:07:03,49.66000000000001
40,2020-01-14 10:08:03,49.550000000000004
41,2020-01-14 10:09:03,49.43
42,2020-01-14 10:10:03,49.31
43,2020-01-14 10:11:03,49.2
44,2020-01-14 10:12:03,49.09000000000001
45,2020-01-14 10:13:03,49.02000000000002
46,2020-01-14 10:14:03,49.01000000000002
47,2020-01-14 10:15:03,48.980000000000025
48,2020-01-14 10:16:03,48.91000000000002
49,2020-01-14 10:17:03,48.860000000000014
50,2020-01-14 10:18:03,48.85000000000001
51,2020-01-14 10:19:03,48.90000000000001
52,2020-01-14 10:20:03,48.990000000000016
53,2020-01-14 10:21:03,49.01000000000002
54,2020-01-14 10:22:03,48.97000000000002
55,2020-01-14 10:23:03,48.90000000000003
56,2020-01-14 10:24:03,48.83000000000003
57,2020-01-14 10:25:03,48.770000000000024
58,2020-01-14 10:26:03,48.75000000000002
59,2020-01-14 10:27:03,48.74000000000002
60,2020-01-14 10:28:03,48.72000000000001
61,2020-01-14 10:29:03,48.65000000000001
62,2020-01-14 10:30:03,48.56000000000002
63,2020-01-14 10:31:03,48.52000000000002
64,2020-01-14 10:32:03,48.51000000000001
65,2020-01-14 10:33:03,48.56000000000002
66,2020-01-14 10:34:03,48.63000000000002
67,2020-01-14 10:35:03,48.73000000000001
68,2020-01-14 10:36:03,48.84000000000002
69,2020-01-14 10:37:03,48.99000000000002
70,2020-01-14 10:38:03,49.250000000000014
71,2020-01-14 10:39:03,44.420000000000016
72,2020-01-14 10:41:03,44.70000000000002
73,2020-01-14 10:56:22,44.88000000000002
74,2020-01-14 11:02:11,45.05000000000002
75,2020-01-14 11:03:11,45.19000000000001
76,2020-01-14 11:04:11,45.31000000000002
77,2020-01-14 11:05:11,45.42000000000001
78,2020-01-14 11:06:11,45.52000000000001
79,2020-01-14 11:07:11,45.51000000000001
80,2020-01-14 11:08:11,45.34000000000002
81,2020-01-14 11:09:11,50.20000000000002
82,2020-01-14 11:10:11,49.88000000000002
83,2020-01-14 11:11:11,49.63000000000001
84,2020-01-14 11:12:11,49.37000000000002
85,2020-01-14 11:13:11,49.06000000000002
86,2020-01-14 11:14:11,48.72000000000001
87,2020-01-14 11:15:11,48.33000000000002
88,2020-01-14 11:16:11,47.920000000000016
89,2020-01-14 11:17:11,47.57000000000001
90,2020-01-14 11:18:11,47.25000000000001
91,2020-01-14 11:19:11,47.02
92,2020-01-14 11:20:11,46.86000000000001
93,2020-01-14 11:21:11,46.66000000000001
94,2020-01-14 11:22:11,46.45000000000001
95,2020-01-14 11:23:11,46.31000000000001
96,2020-01-14 11:24:11,46.260000000000005
97,2020-01-14 11:25:11,46.300000000000004
98,2020-01-14 11:26:11,46.34
99,2020-01-14 11:27:11,46.31
100,2020-01-14 11:28:11,46.27
101,2020-01-14 11:29:11,46.21
102,2020-01-14 11:30:11,46.13
103,2020-01-14 11:31:11,46.12
104,2020-01-14 11:32:11,46.19
105,2020-01-14 11:33:11,46.28
106,2020-01-14 14:31:01,46.35
107,2020-01-14 14:32:01,46.33
108,2020-01-14 14:33:01,46.28
