,dtime,fuellevel,ingection,speed,height,tachometer
0,2020-01-09 06:54:54,48.2,1,0,75.9,71
1,2020-01-09 06:55:55,48.4,1,0,75.9,146
2,2020-01-09 06:56:55,48.7,1,0,75.9,183
3,2020-01-09 06:57:55,48.6,1,0,75.9,222
4,2020-01-09 06:58:55,48.5,1,0,75.9,260
5,2020-01-09 06:59:55,48.6,1,0,75.9,318
6,2020-01-09 07:00:55,48.5,1,0,75.9,391
7,2020-01-09 07:02:07,48.5,1,1,73.4,524
8,2020-01-09 07:03:07,48.5,1,1,70.2,674
9,2020-01-09 07:04:07,48.5,1,3,69.3,813
10,2020-01-09 07:05:07,48.6,1,0,68.5,875
11,2020-01-09 07:06:07,48.5,1,1,67.4,939
12,2020-01-09 07:07:07,48.6,1,0,67.0,1001
13,2020-01-09 07:08:07,48.6,1,2,64.9,1068
14,2020-01-09 07:09:07,48.4,1,3,72.9,1257
15,2020-01-09 07:10:07,48.5,1,2,70.2,1325
16,2020-01-09 07:11:07,48.5,1,2,67.2,1350
17,2020-01-09 07:12:07,48.4,1,4,66.8,1389
18,2020-01-09 07:13:07,48.4,1,4,73.4,1460
19,2020-01-09 07:14:07,48.3,1,5,73.1,1466
20,2020-01-09 07:15:07,48.4,1,10,70.9,1487
21,2020-01-09 07:16:07,48.4,1,1,69.1,1481
22,2020-01-09 07:17:07,48.4,1,2,64.0,1499
23,2020-01-09 07:18:07,48.4,1,1,65.5,1500
24,2020-01-09 07:19:07,48.4,1,4,61.4,1504
25,2020-01-09 07:20:07,48.3,1,1,73.3,1489
26,2020-01-09 07:21:07,48.4,1,0,73.1,1489
27,2020-01-09 07:22:07,48.4,1,6,73.3,1484
28,2020-01-09 07:23:07,48.3,1,2,71.4,1493
29,2020-01-09 07:24:07,48.3,1,2,68.3,1491
30,2020-01-09 07:25:07,47.8,1,4,66.3,1467
31,2020-01-09 07:26:07,46.9,1,4,62.4,1477
32,2020-01-09 07:27:07,46.8,1,1,63.8,1455
33,2020-01-09 07:28:07,47.3,1,0,75.4,1475
34,2020-01-09 07:29:07,47.2,1,1,67.2,1476
35,2020-01-09 07:30:07,47.2,1,1,68.6,1481
36,2020-01-09 07:31:07,47.4,1,1,65.6,1494
37,2020-01-09 07:32:07,44.3,1,1,65.0,1495
38,2020-01-09 07:33:07,41.3,1,1,64.6,1470
39,2020-01-09 07:34:07,40.9,1,1,65.5,1469
40,2020-01-09 07:35:07,42.1,1,0,81.0,1505
41,2020-01-09 07:36:07,42.0,1,0,72.0,1495
42,2020-01-09 07:37:07,41.8,1,1,72.5,1493
43,2020-01-09 07:38:07,42.0,1,0,70.3,1497
44,2020-01-09 07:39:07,41.0,1,1,70.4,1460
45,2020-01-09 07:40:07,40.7,1,1,70.2,1443
46,2020-01-09 07:41:07,40.4,1,0,69.6,1420
47,2020-01-09 07:42:07,40.4,1,2,68.0,1424
48,2020-01-09 07:43:07,40.5,1,3,70.1,1426
49,2020-01-09 07:44:07,40.6,1,0,68.5,1406
50,2020-01-09 07:45:07,40.4,1,5,70.8,1406
51,2020-01-09 07:46:07,40.3,1,1,72.8,1407
52,2020-01-09 07:47:07,40.4,1,2,72.3,1395
53,2020-01-09 07:48:07,40.4,1,0,70.1,1388
54,2020-01-09 07:49:07,40.3,1,2,67.7,1372
55,2020-01-09 07:50:07,40.3,1,0,65.6,1363
56,2020-01-09 07:51:07,40.4,1,0,59.3,1332
57,2020-01-09 07:52:07,40.3,1,1,58.5,1331
58,2020-01-09 07:53:07,40.4,1,1,66.9,1342
59,2020-01-09 07:54:07,40.4,1,2,60.8,1391
60,2020-01-09 07:55:07,40.3,1,2,58.3,1404
61,2020-01-09 07:56:07,40.4,1,6,69.2,1416
62,2020-01-09 07:57:07,40.4,1,5,72.3,1467
63,2020-01-09 07:58:07,40.4,1,7,61.9,1498
64,2020-01-09 07:59:07,40.3,1,5,64.1,1509
65,2020-01-09 08:00:07,40.2,1,0,65.2,1487
66,2020-01-09 08:01:07,40.4,1,2,67.3,1549
67,2020-01-09 08:02:07,40.3,1,1,66.5,1538
68,2020-01-09 08:03:07,40.4,1,0,65.7,1558
69,2020-01-09 08:04:07,40.4,1,0,69.6,1574
70,2020-01-09 08:05:07,40.3,1,2,78.9,1566
71,2020-01-09 08:06:07,40.4,1,4,62.0,1566
72,2020-01-09 08:07:07,40.4,1,1,83.6,1540
73,2020-01-09 08:08:07,40.3,1,2,68.2,1543
74,2020-01-09 08:09:07,40.2,1,0,66.1,1514
75,2020-01-09 08:10:07,40.2,1,6,73.6,1560
76,2020-01-09 08:11:07,40.3,1,12,68.0,1577
77,2020-01-09 08:12:07,40.2,1,5,55.9,1575
78,2020-01-09 08:13:07,40.0,1,1,58.6,1582
79,2020-01-09 08:14:07,40.1,1,3,57.9,1576
80,2020-01-09 08:15:07,40.3,1,3,65.0,1567
81,2020-01-09 08:16:07,40.4,1,7,69.8,1574
82,2020-01-09 08:17:07,40.3,1,4,68.6,1581
83,2020-01-09 08:18:07,40.2,1,4,57.9,1591
84,2020-01-09 08:19:07,40.3,1,7,62.0,1628
85,2020-01-09 08:20:07,40.3,1,4,57.1,1619
86,2020-01-09 08:21:07,39.9,1,7,56.5,1624
87,2020-01-09 08:22:07,39.7,1,2,62.9,1592
88,2020-01-09 08:23:07,40.0,1,3,56.5,1597
89,2020-01-09 08:24:07,39.7,1,2,57.2,1601
90,2020-01-09 08:25:07,39.3,1,4,57.6,1595
91,2020-01-09 08:26:07,38.6,1,3,60.5,1582
92,2020-01-09 08:27:07,38.1,1,1,64.8,1554
93,2020-01-09 08:28:07,39.4,1,0,64.4,1516
94,2020-01-09 08:29:07,40.5,1,0,64.2,1469
95,2020-01-09 08:30:07,40.4,1,0,63.8,1446
96,2020-01-09 08:31:07,40.4,1,0,63.6,1399
97,2020-01-09 08:32:07,40.3,1,0,63.4,1369
98,2020-01-09 08:33:07,40.3,1,0,63.3,1338
99,2020-01-09 08:34:07,40.4,1,0,63.2,1291
100,2020-01-09 08:35:07,40.4,1,0,62.8,1258
101,2020-01-09 08:36:07,40.0,1,4,61.3,1258
102,2020-01-09 08:37:07,37.6,1,4,62.3,1251
103,2020-01-09 08:38:07,35.4,1,1,55.0,1213
104,2020-01-09 08:39:07,35.0,1,4,49.4,1219
105,2020-01-09 08:40:07,35.1,1,6,47.6,1228
106,2020-01-09 08:41:07,35.3,1,1,48.2,1212
107,2020-01-09 08:42:07,34.8,1,3,54.2,1210
108,2020-01-09 08:43:07,34.5,1,2,58.4,1220
109,2020-01-09 08:44:07,34.5,1,3,45.8,1285
110,2020-01-09 08:45:07,34.5,1,1,53.0,1323
111,2020-01-09 08:46:07,34.5,1,6,59.4,1360
112,2020-01-09 08:47:07,34.4,1,8,62.5,1456
113,2020-01-09 08:48:07,34.4,1,1,61.2,1503
114,2020-01-09 08:49:07,34.3,1,4,58.5,1531
115,2020-01-09 08:50:07,34.4,1,2,57.0,1526
116,2020-01-09 08:51:07,34.5,1,3,45.7,1522
117,2020-01-09 08:52:07,34.6,1,1,52.5,1512
118,2020-01-09 08:53:07,34.5,1,2,54.6,1506
119,2020-01-09 08:54:07,34.5,1,1,52.2,1503
120,2020-01-09 08:55:07,34.5,1,0,58.1,1524
121,2020-01-09 08:56:07,34.4,1,2,50.5,1501
122,2020-01-09 08:57:07,34.6,1,1,49.1,1482
123,2020-01-09 08:58:07,34.5,1,0,59.2,1461
124,2020-01-09 08:59:07,34.4,1,0,59.1,1426
125,2020-01-09 09:00:07,34.5,1,0,58.8,1396
126,2020-01-09 09:01:07,34.3,1,0,59.0,1359
127,2020-01-09 09:02:07,34.3,1,0,59.1,1322
128,2020-01-09 09:03:07,34.4,1,0,59.1,1274
129,2020-01-09 09:04:07,34.4,1,0,58.4,1226
130,2020-01-09 09:05:07,34.3,1,0,58.6,1179
131,2020-01-09 09:06:07,34.4,1,0,58.6,1143
132,2020-01-09 09:07:07,34.5,1,0,57.9,1119
133,2020-01-09 09:08:07,34.4,1,0,57.5,1089
134,2020-01-09 09:09:07,34.5,1,0,57.4,1070
135,2020-01-09 09:10:07,34.4,1,0,57.4,1045
136,2020-01-09 09:11:07,34.3,1,0,57.1,1027
137,2020-01-09 09:12:07,34.3,1,0,57.2,980
138,2020-01-09 09:13:07,34.2,1,0,57.6,948
139,2020-01-09 09:14:07,34.4,1,0,57.5,923
140,2020-01-09 09:15:07,34.3,1,0,57.4,887
141,2020-01-09 09:16:07,34.4,1,0,57.1,876
142,2020-01-09 09:17:07,34.4,1,0,57.6,852
143,2020-01-09 09:18:07,34.3,1,0,57.9,841
144,2020-01-09 09:19:07,34.3,1,0,58.2,841
