,dtime,fuellevel,ingection,speed,height,tachometer
0,2020-01-10 09:27:27,44.8,1,0,-9.3,1347
1,2020-01-10 09:34:56,44.5,1,0,-9.3,2439
2,2020-01-10 09:35:56,44.2,1,0,-9.3,689
3,2020-01-10 09:36:56,43.6,1,0,-9.3,2353
4,2020-01-10 09:37:56,42.5,1,0,-9.3,673
5,2020-01-10 09:38:56,42.2,1,27,16.2,1369
6,2020-01-10 09:39:56,42.5,1,1,13.0,1076
7,2020-01-10 09:40:56,43.0,1,33,8.6,1729
8,2020-01-10 09:41:56,42.5,1,20,11.0,707
9,2020-01-10 09:42:56,42.2,1,53,8.4,1780
10,2020-01-10 09:43:56,42.1,1,42,4.2,1168
11,2020-01-10 09:44:56,41.4,1,37,5.0,1256
12,2020-01-10 09:45:56,42.1,1,64,5.7,1755
13,2020-01-10 09:46:56,41.8,1,28,13.0,2264
14,2020-01-10 09:47:56,43.0,1,0,6.6,666
15,2020-01-10 09:52:09,44.2,1,0,15.1,678
16,2020-01-10 09:53:09,43.9,1,13,14.7,990
17,2020-01-10 09:54:09,0.0,0,0,14.0,0
18,2020-01-10 09:56:40,0.0,0,0,16.7,0
19,2020-01-10 09:57:40,40.8,1,0,18.4,661
20,2020-01-10 09:58:40,41.6,1,2,18.5,1232
21,2020-01-10 09:59:40,42.1,1,10,15.9,686
22,2020-01-10 10:00:40,41.0,1,9,19.9,1066
23,2020-01-10 10:01:40,40.4,1,3,15.9,834
24,2020-01-10 10:02:40,41.9,1,31,17.6,1508
25,2020-01-10 10:03:40,42.3,1,70,17.9,2335
26,2020-01-10 10:04:40,41.7,1,77,15.8,2143
27,2020-01-10 10:05:40,42.6,1,95,19.6,2570
28,2020-01-10 10:06:40,41.8,1,89,12.5,2426
29,2020-01-10 10:07:40,39.5,1,31,6.9,1566
30,2020-01-10 10:08:40,40.7,1,76,21.9,2094
31,2020-01-10 10:09:40,42.1,1,79,25.2,2171
32,2020-01-10 10:10:40,41.4,1,83,30.3,2292
33,2020-01-10 10:11:40,42.1,1,80,54.5,2218
34,2020-01-10 10:12:40,41.3,1,79,46.7,2156
35,2020-01-10 10:13:40,40.0,1,88,33.9,2445
36,2020-01-10 10:14:40,38.9,1,83,9.6,2295
37,2020-01-10 10:15:40,38.4,1,84,-3.3,2314
38,2020-01-10 10:16:40,39.7,1,84,-9.5,2314
39,2020-01-10 10:17:40,41.7,1,93,30.6,2502
40,2020-01-10 10:18:40,40.9,1,82,21.8,2242
41,2020-01-10 10:19:40,39.4,1,81,16.1,2232
42,2020-01-10 10:20:40,38.9,1,60,8.2,671
43,2020-01-10 10:21:40,37.1,1,41,2.3,1382
44,2020-01-10 10:22:40,36.8,1,0,-1.3,673
45,2020-01-10 10:23:40,39.9,1,61,-6.1,2045
46,2020-01-10 10:24:40,41.4,1,50,4.4,1719
47,2020-01-10 10:25:40,38.9,1,29,-9.5,1608
48,2020-01-10 10:26:40,38.5,1,56,-6.0,1942
49,2020-01-10 10:27:40,38.2,1,9,-0.6,1982
50,2020-01-10 10:28:40,39.3,1,77,0.7,2146
51,2020-01-10 10:29:40,40.0,1,50,4.3,676
52,2020-01-10 10:30:40,37.6,1,21,-0.3,675
53,2020-01-10 10:31:40,36.2,1,0,-0.8,671
54,2020-01-10 10:34:13,39.9,1,0,17.3,673
55,2020-01-10 10:40:22,39.5,1,0,13.1,684
56,2020-01-10 10:41:22,39.3,1,3,13.9,871
57,2020-01-10 10:42:22,39.4,1,48,5.9,1276
58,2020-01-10 10:43:22,38.3,1,36,3.4,715
59,2020-01-10 10:44:22,0.0,0,0,19.8,0
60,2020-01-10 10:45:22,0.0,0,0,7.0,0
61,2020-01-10 10:46:22,0.0,0,0,5.8,0
62,2020-01-10 10:51:46,40.8,1,1,-13.7,668
63,2020-01-10 11:00:35,40.6,1,0,-4.3,668
64,2020-01-10 11:01:35,40.6,1,11,-0.8,673
65,2020-01-10 11:02:35,40.1,1,63,2.1,1751
66,2020-01-10 11:03:35,38.8,1,56,2.6,1510
67,2020-01-10 11:04:35,37.1,1,52,-1.1,1620
68,2020-01-10 11:05:35,36.1,1,36,1.6,1153
69,2020-01-10 11:06:35,37.3,1,63,11.9,1728
70,2020-01-10 11:07:35,36.7,1,32,-0.7,1743
71,2020-01-10 11:08:35,35.0,1,0,-0.6,662
72,2020-01-10 11:09:35,37.1,1,31,6.7,1676
73,2020-01-10 11:10:35,38.1,1,16,3.8,1002
74,2020-01-10 11:11:35,37.1,1,62,-0.9,2066
75,2020-01-10 11:12:35,38.0,1,91,6.6,2482
76,2020-01-10 11:13:35,38.2,1,87,15.8,2391
77,2020-01-10 11:14:35,37.8,1,95,21.1,2606
78,2020-01-10 11:15:35,36.5,1,90,-4.6,2469
79,2020-01-10 11:16:35,35.6,1,88,-13.5,2391
80,2020-01-10 11:17:35,36.9,1,80,0.7,2204
81,2020-01-10 11:18:35,38.0,1,81,35.2,2228
82,2020-01-10 11:19:35,37.3,1,85,24.5,2318
83,2020-01-10 11:20:35,36.9,1,82,61.9,2369
84,2020-01-10 11:21:35,36.1,1,86,66.3,2349
85,2020-01-10 11:22:35,35.3,1,88,38.8,2401
86,2020-01-10 11:23:35,36.3,1,89,22.2,2435
87,2020-01-10 11:24:35,34.5,1,19,4.8,1388
88,2020-01-10 11:25:35,34.9,1,72,10.9,1993
89,2020-01-10 11:26:35,35.6,1,49,11.3,1332
90,2020-01-10 11:27:35,34.8,1,80,2.5,1833
91,2020-01-10 11:28:35,33.3,1,0,-0.4,683
92,2020-01-10 11:29:35,33.9,1,67,11.4,1890
93,2020-01-10 11:30:35,33.8,1,0,-1.3,674
94,2020-01-10 11:58:55,34.5,1,3,0.6,680
95,2020-01-10 11:59:55,35.2,1,1,7.7,687
