i,dtime,fuellevel,ingection,speed,height,tachometer
0,2020-01-09 08:39:38,0.0,1,0,55.0,0
1,2020-01-09 08:40:43,141.6,1,0,55.0,999
2,2020-01-09 08:41:43,141.6,1,0,55.0,1000
3,2020-01-09 08:42:43,141.6,1,0,55.0,1000
4,2020-01-09 08:43:43,141.6,1,0,55.0,998
5,2020-01-09 08:44:43,141.5,1,0,55.0,1002
6,2020-01-09 08:45:43,141.4,1,0,55.0,999
7,2020-01-09 08:46:43,141.4,1,0,55.0,999
8,2020-01-09 08:47:42,141.4,1,0,55.0,997
9,2020-01-09 08:48:43,141.3,1,0,55.0,998
10,2020-01-09 08:49:43,141.2,1,0,55.0,871
11,2020-01-09 08:50:43,140.9,1,2,55.0,1763
12,2020-01-09 08:52:05,140.9,1,0,34.3,1000
13,2020-01-09 08:53:05,140.8,1,0,34.2,998
14,2020-01-09 08:54:05,140.8,1,0,35.1,1000
15,2020-01-09 08:55:05,140.9,1,0,36.0,998
16,2020-01-09 08:56:05,140.9,1,0,37.6,1001
17,2020-01-09 08:57:05,140.9,1,0,37.8,999
18,2020-01-09 08:58:05,141.0,1,0,39.1,1000
19,2020-01-09 08:59:05,141.0,1,0,39.9,998
20,2020-01-09 09:00:05,141.1,1,0,41.1,999
21,2020-01-09 09:01:05,141.1,1,0,42.0,1002
22,2020-01-09 09:02:05,141.2,1,0,42.0,1000
23,2020-01-09 09:03:05,141.2,1,0,42.1,1000
24,2020-01-09 09:04:05,141.2,1,0,43.4,999
25,2020-01-09 09:05:05,141.2,1,0,43.3,1001
26,2020-01-09 09:06:05,141.3,1,0,43.0,998
27,2020-01-09 09:07:05,141.3,1,0,42.7,1002
28,2020-01-09 09:08:05,141.3,1,0,43.0,998
29,2020-01-09 09:09:05,141.3,1,0,43.2,1000
30,2020-01-09 09:10:05,141.3,1,0,43.4,1000
31,2020-01-09 09:11:05,141.3,1,0,43.4,999
32,2020-01-09 09:12:05,141.3,1,0,44.1,998
33,2020-01-09 09:13:05,141.3,1,0,44.7,999
34,2020-01-09 09:14:05,141.3,1,0,45.0,1001
35,2020-01-09 09:15:05,141.3,1,0,45.8,999
36,2020-01-09 09:16:05,141.3,1,0,47.1,1000
37,2020-01-09 09:17:05,141.3,1,1,47.4,999
38,2020-01-09 09:18:05,141.3,1,0,47.9,998
39,2020-01-09 09:19:05,141.2,1,0,47.9,998
40,2020-01-09 09:20:05,141.2,1,0,48.4,1001
41,2020-01-09 09:21:05,141.2,1,0,48.9,998
42,2020-01-09 09:22:05,141.1,1,0,49.6,998
43,2020-01-09 09:23:05,141.1,1,0,49.8,998
44,2020-01-09 09:24:05,141.1,1,0,50.2,998
45,2020-01-09 09:25:05,141.1,1,0,50.5,1002
46,2020-01-09 09:26:05,141.0,1,0,50.2,999
47,2020-01-09 09:27:05,141.0,1,0,50.0,1003
48,2020-01-09 09:28:05,140.9,1,0,50.1,999
49,2020-01-09 09:29:05,140.9,1,0,50.4,1000
50,2020-01-09 09:30:05,140.9,1,0,51.0,998
51,2020-01-09 09:31:05,140.9,1,0,51.1,999
52,2020-01-09 09:32:05,140.9,1,0,51.1,1001
53,2020-01-09 09:33:05,140.1,1,0,51.5,881
54,2020-01-09 09:34:05,140.8,1,1,57.7,886
55,2020-01-09 09:35:05,140.9,1,0,57.7,1000
56,2020-01-09 09:36:05,140.9,1,0,58.3,1000
57,2020-01-09 09:37:05,140.9,1,0,58.5,1000
58,2020-01-09 09:38:05,140.9,1,0,59.4,998
59,2020-01-09 09:39:05,140.7,1,0,60.0,999
60,2020-01-09 09:40:05,140.6,1,0,61.1,999
61,2020-01-09 09:41:05,140.5,1,0,61.5,1001
62,2020-01-09 09:42:05,140.4,1,0,62.1,999
63,2020-01-09 09:43:05,140.3,1,0,62.4,1001
