,index,i,dtime,fuellevel,ingection,speed,height,tachometer,refuel
0,51,13,2020-01-10 09:46:56,42.49615384615384,1,28,13.0,2264,1
1,53,14,2020-01-10 09:47:56,42.380769230769225,1,0,6.6,666,1
2,54,15,2020-01-10 09:52:09,42.18846153846153,1,0,15.1,678,1
3,59,16,2020-01-10 09:53:09,42.05384615384615,1,13,14.7,990,1
4,64,19,2020-01-10 09:57:40,41.99615384615384,1,0,18.4,661,1
5,65,20,2020-01-10 09:58:40,41.95384615384615,1,2,18.5,1232,1
6,73,21,2020-01-10 09:59:40,41.949999999999996,1,10,15.9,686,1
7,74,22,2020-01-10 10:00:40,41.903846153846146,1,9,19.9,1066,1
8,79,23,2020-01-10 10:01:40,41.78846153846153,1,3,15.9,834,1
9,88,24,2020-01-10 10:02:40,41.64999999999999,1,31,17.6,1508,1
10,95,25,2020-01-10 10:03:40,41.50384615384615,1,70,17.9,2335,1
11,104,26,2020-01-10 10:04:40,41.41153846153846,1,77,15.8,2143,1
12,115,27,2020-01-10 10:05:40,41.42307692307692,1,95,19.6,2570,1
13,122,28,2020-01-10 10:06:40,41.376923076923084,1,89,12.5,2426,1
14,129,29,2020-01-10 10:07:40,41.2846153846154,1,31,6.9,1566,1
15,143,30,2020-01-10 10:08:40,41.12692307692309,1,76,21.9,2094,1
16,148,31,2020-01-10 10:09:40,40.85384615384616,1,79,25.2,2171,1
17,163,32,2020-01-10 10:10:40,40.580769230769235,1,83,30.3,2292,1
18,172,33,2020-01-10 10:11:40,40.54615384615386,1,80,54.5,2218,1
19,182,34,2020-01-10 10:12:40,40.538461538461554,1,79,46.7,2156,1
20,194,35,2020-01-10 10:13:40,40.41538461538464,1,88,33.9,2445,1
21,199,36,2020-01-10 10:14:40,40.31923076923079,1,83,9.6,2295,1
22,207,37,2020-01-10 10:15:40,40.23461538461541,1,84,-3.3,2314,1
23,214,38,2020-01-10 10:16:40,40.1346153846154,1,84,-9.5,2314,1
24,227,39,2020-01-10 10:17:40,40.046153846153864,1,93,30.6,2502,1
25,243,40,2020-01-10 10:18:40,39.888461538461556,1,82,21.8,2242,1
26,254,41,2020-01-10 10:19:40,39.64230769230771,1,81,16.1,2232,1
27,261,42,2020-01-10 10:20:40,39.56923076923079,1,60,8.2,671,1
28,272,43,2020-01-10 10:21:40,39.56923076923079,1,41,2.3,1382,1
29,273,44,2020-01-10 10:22:40,39.51538461538463,1,0,-1.3,673,1
30,276,45,2020-01-10 10:23:40,39.41153846153849,1,61,-6.1,2045,1
31,279,46,2020-01-10 10:24:40,39.292307692307716,1,50,4.4,1719,1
32,292,47,2020-01-10 10:25:40,39.24230769230772,1,29,-9.5,1608,1
33,298,48,2020-01-10 10:26:40,39.21538461538465,1,56,-6.0,1942,1
34,307,49,2020-01-10 10:27:40,39.238461538461564,1,9,-0.6,1982,1
35,311,50,2020-01-10 10:28:40,39.28461538461541,1,77,0.7,2146,1
36,320,51,2020-01-10 10:29:40,39.300000000000026,1,50,4.3,676,1
37,331,52,2020-01-10 10:30:40,39.20000000000003,1,21,-0.3,675,1
38,334,53,2020-01-10 10:31:40,38.98461538461541,1,0,-0.8,671,1
39,336,54,2020-01-10 10:34:13,38.84615384615387,1,0,17.3,673,1
40,337,55,2020-01-10 10:40:22,38.74230769230771,1,0,13.1,684,1
41,338,56,2020-01-10 10:41:22,38.59230769230772,1,3,13.9,871,1
42,346,57,2020-01-10 10:42:22,38.59230769230772,1,48,5.9,1276,1
43,354,58,2020-01-10 10:43:22,38.64230769230772,1,36,3.4,715,1
44,360,62,2020-01-10 10:51:46,38.53461538461541,1,1,-13.7,668,1
45,361,63,2020-01-10 11:00:35,38.403846153846175,1,0,-4.3,668,1
46,364,64,2020-01-10 11:01:35,38.3769230769231,1,11,-0.8,673,1
47,365,65,2020-01-10 11:02:35,38.35000000000002,1,63,2.1,1751,1
48,367,66,2020-01-10 11:03:35,38.28461538461541,1,56,2.6,1510,1
49,370,67,2020-01-10 11:04:35,38.14230769230771,1,52,-1.1,1620,1
50,379,68,2020-01-10 11:05:35,38.02307692307694,1,36,1.6,1153,1
51,383,69,2020-01-10 11:06:35,38.03846153846156,1,63,11.9,1728,1
52,384,70,2020-01-10 11:07:35,38.080769230769256,1,32,-0.7,1743,1
53,386,71,2020-01-10 11:08:35,37.96538461538464,1,0,-0.6,662,1
54,396,72,2020-01-10 11:09:35,37.83461538461541,1,31,6.7,1676,1
55,399,73,2020-01-10 11:10:35,37.68076923076926,1,16,3.8,1002,1
56,409,74,2020-01-10 11:11:35,37.56153846153849,1,62,-0.9,2066,1
57,416,75,2020-01-10 11:12:35,37.415384615384646,1,91,6.6,2482,1
58,426,76,2020-01-10 11:13:35,37.18846153846157,1,87,15.8,2391,1
59,442,77,2020-01-10 11:14:35,36.996153846153874,1,95,21.1,2606,1
60,454,78,2020-01-10 11:15:35,36.77307692307695,1,90,-4.6,2469,1
61,462,79,2020-01-10 11:16:35,36.511538461538485,1,88,-13.5,2391,1
62,470,80,2020-01-10 11:17:35,36.32307692307695,1,80,0.7,2204,1
63,476,81,2020-01-10 11:18:35,36.19615384615387,1,81,35.2,2228,1
64,487,82,2020-01-10 11:19:35,36.13461538461541,1,85,24.5,2318,1
65,497,83,2020-01-10 11:20:35,36.05384615384618,1,82,61.9,2369,1
66,508,84,2020-01-10 11:21:35,36.003846153846176,1,86,66.3,2349,1
67,521,85,2020-01-10 11:22:35,36.003846153846176,1,88,38.8,2401,1
68,533,86,2020-01-10 11:23:35,35.89230769230772,1,89,22.2,2435,1
69,545,87,2020-01-10 11:24:35,35.68461538461541,1,19,4.8,1388,1
70,551,88,2020-01-10 11:25:35,35.54615384615387,1,72,10.9,1993,1
71,559,89,2020-01-10 11:26:35,35.42307692307695,1,49,11.3,1332,1
72,565,90,2020-01-10 11:27:35,35.334615384615404,1,80,2.5,1833,1
73,568,91,2020-01-10 11:28:35,35.257692307692324,1,0,-0.4,683,1
74,577,92,2020-01-10 11:29:35,35.16538461538464,1,67,11.4,1890,1
75,585,93,2020-01-10 11:30:35,35.11923076923079,1,0,-1.3,674,1
76,592,94,2020-01-10 11:58:55,35.06923076923079,1,3,0.6,680,0
77,593,95,2020-01-10 11:59:55,34.89230769230771,1,1,7.7,687,0
