i,dtime,fuellevel,ingection,speed,height,tachometer,refuel
0,2020-01-08 21:16:02,0.0,0,0,-22.9,0,0
1,2020-01-08 21:17:04,0.0,0,0,-22.9,0,0
2,2020-01-08 21:18:04,0.0,0,0,-22.9,0,0
3,2020-01-09 10:05:26,49.7,1,0,-22.9,1248,0
4,2020-01-09 10:06:27,49.9,1,0,-22.9,1056,0
5,2020-01-09 10:07:27,50.3,1,0,-22.9,960,0
6,2020-01-09 10:08:27,50.4,1,0,-22.9,864,0
7,2020-01-09 10:09:27,50.1,1,0,-22.9,864,0
8,2020-01-09 10:10:27,49.7,1,0,-22.9,864,0
9,2020-01-09 10:11:27,49.7,1,0,-22.9,832,0
10,2020-01-09 10:12:27,49.7,1,0,-22.9,832,0
11,2020-01-09 10:13:27,49.7,1,0,-22.9,832,0
12,2020-01-09 10:14:27,49.7,1,0,-22.9,832,0
13,2020-01-09 10:15:27,49.7,1,0,-22.9,832,0
14,2020-01-09 10:16:27,49.7,1,0,-22.9,832,0
15,2020-01-09 10:17:27,49.7,1,0,-22.9,832,0
16,2020-01-09 10:18:27,49.7,1,0,-22.9,832,0
17,2020-01-09 10:19:27,49.7,1,0,-22.9,832,0
18,2020-01-09 10:20:27,49.7,1,0,-22.9,832,0
19,2020-01-09 10:21:27,49.7,1,0,-22.9,832,0
20,2020-01-09 10:22:27,49.7,1,0,-22.9,832,0
21,2020-01-09 10:23:27,49.7,1,0,-22.9,832,0
22,2020-01-10 04:44:17,0.0,0,0,-22.9,0,0
23,2020-01-10 04:45:48,0.0,0,0,-22.9,0,0
24,2020-01-10 04:46:48,0.0,0,0,-22.9,0,0
25,2020-01-14 09:34:09,49.7,1,0,-22.9,1248,0
26,2020-01-14 09:45:40,49.7,1,0,-22.9,1248,0
27,2020-01-14 09:46:40,49.7,1,0,-22.9,1056,0
28,2020-01-14 09:47:40,49.6,1,0,-22.9,928,0
29,2020-01-14 09:55:57,0.0,1,0,-22.9,960,0
30,2020-01-14 09:56:57,49.7,1,0,-22.9,1088,0
31,2020-01-14 09:57:57,49.7,1,0,-22.9,864,0
32,2020-01-14 09:58:57,49.9,1,0,-22.9,1024,0
33,2020-01-14 09:59:57,50.3,1,0,-22.9,832,0
34,2020-01-14 10:00:57,50.4,1,0,-22.9,832,0
35,2020-01-14 10:01:57,49.9,1,16,-22.3,1536,0
36,2020-01-14 10:04:03,49.3,1,3,-68.9,960,0
