i,dtime,fuellevel,ingection,speed,height,tachometer,refuel
0,2020-01-09 08:54:05,141.19230769230768,1,0,35.1,1000,1
1,2020-01-09 08:55:05,141.18076923076922,1,0,36.0,998,1
2,2020-01-09 08:56:05,141.16923076923078,1,0,37.6,1001,1
3,2020-01-09 08:57:05,141.15769230769232,1,0,37.8,999,1
4,2020-01-09 08:58:05,141.14615384615388,1,0,39.1,1000,1
5,2020-01-09 08:59:05,141.13846153846157,1,0,39.9,998,1
6,2020-01-09 09:00:05,141.13461538461542,1,0,41.1,999,1
7,2020-01-09 09:01:05,141.13076923076926,1,0,42.0,1002,1
8,2020-01-09 09:02:05,141.1269230769231,1,0,42.0,1000,1
9,2020-01-09 09:03:05,141.1269230769231,1,0,42.1,1000,1
10,2020-01-09 09:04:05,141.1307692307693,1,0,43.4,999,1
11,2020-01-09 09:05:05,141.1461538461539,1,0,43.3,1001,1
12,2020-01-09 09:06:05,141.16153846153853,1,0,43.0,998,1
13,2020-01-09 09:07:05,141.17692307692312,1,0,42.7,1002,1
14,2020-01-09 09:08:05,141.19230769230774,1,0,43.0,998,1
15,2020-01-09 09:09:05,141.20384615384617,1,0,43.2,1000,1
16,2020-01-09 09:10:05,141.21153846153848,1,0,43.4,1000,1
17,2020-01-09 09:11:05,141.2192307692308,1,0,43.4,999,1
18,2020-01-09 09:12:05,141.22307692307692,1,0,44.1,998,1
19,2020-01-09 09:13:05,141.22692307692307,1,0,44.7,999,1
20,2020-01-09 09:14:05,141.22307692307692,1,0,45.0,1001,1
21,2020-01-09 09:15:05,141.2192307692308,1,0,45.8,999,1
22,2020-01-09 09:16:05,141.20769230769233,1,0,47.1,1000,1
23,2020-01-09 09:17:05,141.1961538461539,1,1,47.4,999,1
24,2020-01-09 09:18:05,141.18461538461543,1,0,47.9,998,1
25,2020-01-09 09:19:05,141.17307692307696,1,0,47.9,998,1
26,2020-01-09 09:20:05,141.15769230769234,1,0,48.4,1001,1
27,2020-01-09 09:21:05,141.1115384615385,1,0,48.9,998,1
28,2020-01-09 09:22:05,141.09230769230774,1,0,49.6,998,1
29,2020-01-09 09:23:05,141.07692307692312,1,0,49.8,998,1
30,2020-01-09 09:24:05,141.0615384615385,1,0,50.2,998,1
31,2020-01-09 09:25:05,141.04615384615389,1,0,50.5,1002,1
32,2020-01-09 09:26:05,141.03076923076927,1,0,50.2,999,1
33,2020-01-09 09:27:05,141.0076923076923,1,0,50.0,1003,1
34,2020-01-09 09:28:05,140.98076923076923,1,0,50.1,999,1
35,2020-01-09 09:29:05,140.95,1,0,50.4,1000,1
36,2020-01-09 09:30:05,140.9153846153846,1,0,51.0,998,1
37,2020-01-09 09:31:05,140.87692307692308,1,0,51.1,999,1
38,2020-01-09 09:32:05,140.83846153846153,1,0,51.1,1001,1
39,2020-01-09 09:33:05,140.79999999999998,1,0,51.5,881,1
40,2020-01-09 09:34:05,140.76153846153846,1,1,57.7,886,1
41,2020-01-09 09:35:05,140.7153846153846,1,0,57.7,1000,1
42,2020-01-09 09:36:05,140.66538461538462,1,0,58.3,1000,1
43,2020-01-09 09:37:05,140.64615384615385,1,0,58.5,1000,1
