i,dtime,fuellevel,ingection,speed,height,tachometer,refuel
0,2020-01-09 06:54:54,48.2,1,0,75.9,71,0
1,2020-01-09 06:55:55,48.4,1,0,75.9,146,1
2,2020-01-09 06:56:55,48.7,1,0,75.9,183,1
3,2020-01-09 06:57:55,48.6,1,0,75.9,222,1
4,2020-01-09 06:58:55,48.5,1,0,75.9,260,1
5,2020-01-09 06:59:55,48.6,1,0,75.9,318,1
6,2020-01-09 07:00:55,48.5,1,0,75.9,391,1
4163,2020-01-09 07:01:43,,1,4,72.1,462,1
7,2020-01-09 07:02:07,48.5,1,1,73.4,524,1
4164,2020-01-09 07:02:49,,1,4,69.8,601,1
8,2020-01-09 07:03:07,48.5,1,1,70.2,674,1
4165,2020-01-09 07:03:54,,1,2,68.9,742,1
9,2020-01-09 07:04:07,48.5,1,3,69.3,813,1
10,2020-01-09 07:05:07,48.6,1,0,68.5,875,1
11,2020-01-09 07:06:07,48.5,1,1,67.4,939,1
12,2020-01-09 07:07:07,48.6,1,0,67.0,1001,1
13,2020-01-09 07:08:07,48.6,1,2,64.9,1068,1
4166,2020-01-09 07:08:19,,1,4,66.1,1145,1
4167,2020-01-09 07:08:35,,1,4,68.5,1217,1
14,2020-01-09 07:09:07,48.4,1,3,72.9,1257,1
4168,2020-01-09 07:09:23,,1,7,75.9,1295,1
15,2020-01-09 07:10:07,48.5,1,2,70.2,1325,1
16,2020-01-09 07:11:07,48.5,1,2,67.2,1350,1
17,2020-01-09 07:12:07,48.4,1,4,66.8,1389,1
4169,2020-01-09 07:12:22,,1,8,72.3,1437,1
4170,2020-01-09 07:12:30,,1,6,74.7,1467,1
4171,2020-01-09 07:12:47,,1,3,76.1,1459,1
4172,2020-01-09 07:12:55,,1,4,75.9,1456,1
18,2020-01-09 07:13:07,48.4,1,4,73.4,1460,1
19,2020-01-09 07:14:07,48.3,1,5,73.1,1466,1
4173,2020-01-09 07:14:15,,1,6,73.5,1475,1
4174,2020-01-09 07:15:06,,1,12,70.8,1487,1
20,2020-01-09 07:15:07,48.4,1,10,70.9,1487,1
21,2020-01-09 07:16:07,48.4,1,1,69.1,1481,1
4175,2020-01-09 07:16:32,,1,3,67.9,1490,1
22,2020-01-09 07:17:07,48.4,1,2,64.0,1499,1
23,2020-01-09 07:18:07,48.4,1,1,65.5,1500,1
24,2020-01-09 07:19:07,48.4,1,4,61.4,1504,1
25,2020-01-09 07:20:07,48.3,1,1,73.3,1489,1
26,2020-01-09 07:21:07,48.4,1,0,73.1,1489,1
4176,2020-01-09 07:22:05,,1,4,73.2,1479,1
27,2020-01-09 07:22:07,48.4,1,6,73.3,1484,1
28,2020-01-09 07:23:07,48.3,1,2,71.4,1493,1
4177,2020-01-09 07:23:38,,1,3,69.2,1505,1
29,2020-01-09 07:24:07,48.3,1,2,68.3,1491,1
4178,2020-01-09 07:24:38,,1,4,66.4,1471,1
4179,2020-01-09 07:24:50,,1,2,67.4,1454,1
30,2020-01-09 07:25:07,47.8,1,4,66.3,1467,1
4180,2020-01-09 07:25:28,,1,12,70.3,1489,1
4181,2020-01-09 07:25:58,,1,3,66.1,1490,1
31,2020-01-09 07:26:07,46.9,1,4,62.4,1477,1
32,2020-01-09 07:27:07,46.8,1,1,63.8,1455,1
4182,2020-01-09 07:27:52,,1,7,75.0,1460,1
33,2020-01-09 07:28:07,47.3,1,0,75.4,1475,1
4183,2020-01-09 07:28:25,,1,8,73.0,1485,1
34,2020-01-09 07:29:07,47.2,1,1,67.2,1476,1
35,2020-01-09 07:30:07,47.2,1,1,68.6,1481,1
4184,2020-01-09 07:30:46,,1,3,68.8,1485,1
36,2020-01-09 07:31:07,47.4,1,1,65.6,1494,1
4185,2020-01-09 07:31:33,,1,4,64.3,1504,1
37,2020-01-09 07:32:07,44.3,1,1,65.0,1495,1
38,2020-01-09 07:33:07,41.3,1,1,64.6,1470,1
39,2020-01-09 07:34:07,40.9,1,1,65.5,1469,1
4186,2020-01-09 07:34:26,,1,2,66.7,1472,1
4187,2020-01-09 07:35:00,,1,5,78.7,1493,1
4188,2020-01-09 07:35:05,,1,2,80.5,1504,1
40,2020-01-09 07:35:07,42.1,1,0,81.0,1505,1
4189,2020-01-09 07:35:27,,1,6,78.9,1509,1
4190,2020-01-09 07:35:31,,1,11,76.2,1501,1
41,2020-01-09 07:36:07,42.0,1,0,72.0,1495,1
42,2020-01-09 07:37:07,41.8,1,1,72.5,1493,1
43,2020-01-09 07:38:07,42.0,1,0,70.3,1497,1
44,2020-01-09 07:39:07,41.0,1,1,70.4,1460,1
45,2020-01-09 07:40:07,40.7,1,1,70.2,1443,1
46,2020-01-09 07:41:07,40.4,1,0,69.6,1420,1
47,2020-01-09 07:42:07,40.4,1,2,68.0,1424,1
4191,2020-01-09 07:42:40,,1,8,72.1,1440,1
48,2020-01-09 07:43:07,40.5,1,3,70.1,1426,1
49,2020-01-09 07:44:07,40.6,1,0,68.5,1406,1
4192,2020-01-09 07:44:55,,1,3,68.2,1389,1
50,2020-01-09 07:45:07,40.4,1,5,70.8,1406,1
51,2020-01-09 07:46:07,40.3,1,1,72.8,1407,1
52,2020-01-09 07:47:07,40.4,1,2,72.3,1395,1
53,2020-01-09 07:48:07,40.4,1,0,70.1,1388,1
54,2020-01-09 07:49:07,40.3,1,2,67.7,1372,1
55,2020-01-09 07:50:07,40.3,1,0,65.6,1363,1
4193,2020-01-09 07:50:18,,1,3,62.7,1357,1
56,2020-01-09 07:51:07,40.4,1,0,59.3,1332,1
4194,2020-01-09 07:51:55,,1,3,58.6,1327,1
57,2020-01-09 07:52:07,40.3,1,1,58.5,1331,1
4195,2020-01-09 07:52:42,,1,5,68.2,1342,1
58,2020-01-09 07:53:07,40.4,1,1,66.9,1342,1
4196,2020-01-09 07:53:44,,1,4,62.9,1374,1
59,2020-01-09 07:54:07,40.4,1,2,60.8,1391,1
60,2020-01-09 07:55:07,40.3,1,2,58.3,1404,1
4197,2020-01-09 07:55:53,,1,3,67.6,1415,1
61,2020-01-09 07:56:07,40.4,1,6,69.2,1416,1
4198,2020-01-09 07:56:53,,1,9,74.3,1437,1
62,2020-01-09 07:57:07,40.4,1,5,72.3,1467,1
4199,2020-01-09 07:57:44,,1,7,62.3,1484,1
4200,2020-01-09 07:58:06,,1,5,61.9,1498,1
63,2020-01-09 07:58:07,40.4,1,7,61.9,1498,1
64,2020-01-09 07:59:07,40.3,1,5,64.1,1509,1
4201,2020-01-09 07:59:15,,1,5,65.9,1516,1
65,2020-01-09 08:00:07,40.2,1,0,65.2,1487,1
4202,2020-01-09 08:00:33,,1,4,66.7,1492,1
4203,2020-01-09 08:00:54,,1,7,66.5,1510,1
4204,2020-01-09 08:01:04,,1,2,67.4,1526,1
66,2020-01-09 08:01:07,40.4,1,2,67.3,1549,1
